INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("temer alturas", "acrofobia");
INSERT INTO SINONIMOS VALUES("algofobia", "medo dor");
INSERT INTO SINONIMOS VALUES("insetos do medo", "acarofobia");
INSERT INTO SINONIMOS VALUES("volubilidade", "logorréia");
INSERT INTO SINONIMOS VALUES("temporário", "transiente");
INSERT INTO SINONIMOS VALUES("discernimento", "percepção");
INSERT INTO SINONIMOS VALUES("função de excitação", "excitação");
INSERT INTO SINONIMOS VALUES("estimulação peniana oral", "felação");
INSERT INTO SINONIMOS VALUES("estimulação clitoriana oral", "cunilíngua");
INSERT INTO SINONIMOS VALUES("incapacidade do orgasmo", "anorgasmia");
INSERT INTO SINONIMOS VALUES("atrasado", "retardata");
INSERT INTO SINONIMOS VALUES("Função da fibra nervosa da célula nervosa", "velocidade");
INSERT INTO SINONIMOS VALUES("reflexo ausente", "arreflexia");
INSERT INTO SINONIMOS VALUES("patelar", "joelho");
INSERT INTO SINONIMOS VALUES("hipermetria", "apontando para o passado");
INSERT INTO SINONIMOS VALUES("palmar", "aperto");
INSERT INTO SINONIMOS VALUES("sensação de dor", "nocicepção");
INSERT INTO SINONIMOS VALUES("agulhas de alfinetes", "formigueiro");
INSERT INTO SINONIMOS VALUES("barestesia", "sentido de pressão");
INSERT INTO SINONIMOS VALUES("cheiros sensíveis", "hiperosmia");
INSERT INTO SINONIMOS VALUES("cheiro sentido prejudicado", "hiposmia");
INSERT INTO SINONIMOS VALUES("décimo cranial", "vago");
INSERT INTO SINONIMOS VALUES("estático", "postural");
INSERT INTO SINONIMOS VALUES("consciência nivelada", "sensório");
INSERT INTO SINONIMOS VALUES("tussive", "tosse");
INSERT INTO SINONIMOS VALUES("onda lenta", "profundo");
INSERT INTO SINONIMOS VALUES("agnosia tátil", "astereognose");
INSERT INTO SINONIMOS VALUES("constrição bilateral do campo visual", "visão de túnel");
INSERT INTO SINONIMOS VALUES("laringismo paralyticus", "rugindo");
INSERT INTO SINONIMOS VALUES("função de intensidade", "sonoridade");
INSERT INTO SINONIMOS VALUES("gorduroso", "oleoso");
INSERT INTO SINONIMOS VALUES("hiperatividade da glândula sebácea", "seborréia");
INSERT INTO SINONIMOS VALUES("equilíbrio desordem", "dysequilibrium");
INSERT INTO SINONIMOS VALUES("córtex motor", "Jacksonian");
INSERT INTO SINONIMOS VALUES("faringe", "garganta");
INSERT INTO SINONIMOS VALUES("lenticular", "lente");
INSERT INTO SINONIMOS VALUES("disosmia", "cacosmia");
INSERT INTO SINONIMOS VALUES("fezes", "banquinho");
INSERT INTO SINONIMOS VALUES("químico", "corrosivo");
INSERT INTO SINONIMOS VALUES("descamação", "descamação");
INSERT INTO SINONIMOS VALUES("cetótica", "acetona");
INSERT INTO SINONIMOS VALUES("fibrilação atrial paroxística", "paf");
INSERT INTO SINONIMOS VALUES("veia desordem não especificada", "doença venosa");
INSERT INTO SINONIMOS VALUES("respiração lenta e superficial", "hipopneia");
INSERT INTO SINONIMOS VALUES("secreção brônquica", "escarro");
INSERT INTO SINONIMOS VALUES("angústia", "desconforto");
INSERT INTO SINONIMOS VALUES("doendo", "dor");
INSERT INTO SINONIMOS VALUES("interrompido", "segurando");
INSERT INTO SINONIMOS VALUES("mancha", "marca de nascença");
INSERT INTO SINONIMOS VALUES("protrusão", "hérnia");
INSERT INTO SINONIMOS VALUES("recém nascido", "neonatal");
INSERT INTO SINONIMOS VALUES("lacrimejamento", "rasgar");
INSERT INTO SINONIMOS VALUES("universalis", "congênito");
INSERT INTO SINONIMOS VALUES("necrose muscular", "mionecrose");
INSERT INTO SINONIMOS VALUES("aumento da somatotropina", "excesso de hormônio do crescimento");
INSERT INTO SINONIMOS VALUES("bebê excepcionalmente grande", "macrossomia");
INSERT INTO SINONIMOS VALUES("úlcera", "feridas");
INSERT INTO SINONIMOS VALUES("lactato desidrogenase", "ldh");
INSERT INTO SINONIMOS VALUES("distúrbio de percepção persistente de alucinógeno", "flashbacks");
INSERT INTO SINONIMOS VALUES("intoxicação por fenciclidina", "psicose pcp");
INSERT INTO SINONIMOS VALUES("transtorno desintegrativo da infância", "síndrome de heller");
INSERT INTO SINONIMOS VALUES("achado de interação", "contato");
INSERT INTO SINONIMOS VALUES("ação intestinal", "passagem de fezes");
INSERT INTO SINONIMOS VALUES("aod", "substância");
INSERT INTO SINONIMOS VALUES("taxa", "batida");
INSERT INTO SINONIMOS VALUES("atitude positiva", "otimismo");
INSERT INTO SINONIMOS VALUES("potencial", "responsabilidade");
INSERT INTO SINONIMOS VALUES("progressão", "cardíaco");
INSERT INTO SINONIMOS VALUES("dimensionamento", "peeling de pele");
INSERT INTO SINONIMOS VALUES("paracetamol", "paracetamol");
INSERT INTO SINONIMOS VALUES("crianças com síndrome da imunodeficiência adquirida", "AIDS pediátrica");
INSERT INTO SINONIMOS VALUES("anúncios cdc group", "AUXILIA");
INSERT INTO SINONIMOS VALUES("efeito tóxico", "envenenamento");
INSERT INTO SINONIMOS VALUES("esofagite", "esofagite");
INSERT INTO SINONIMOS VALUES("esôfago de ruptura espontânea", "síndrome de boerhaave");
INSERT INTO SINONIMOS VALUES("hipogonadismo primário", "falha testicular");
INSERT INTO SINONIMOS VALUES("benigno", "essencial");
INSERT INTO SINONIMOS VALUES("hipotireoidismo atrófico idiopático", "doença de gaivota");
INSERT INTO SINONIMOS VALUES("tumor estromal gastrointestinal", "essência");
INSERT INTO SINONIMOS VALUES("doença de deficiência de sialidase gangliosídeo", "mucolipidose iv");
INSERT INTO SINONIMOS VALUES("lesão", "paralisia");
INSERT INTO SINONIMOS VALUES("retorno venoso pulmonar anômalo total", "tapvr");
INSERT INTO SINONIMOS VALUES("pyknodysostosis", "picnodisostose");
INSERT INTO SINONIMOS VALUES("extradural", "epidural");
INSERT INTO SINONIMOS VALUES("nervo do núcleo ambíguo-hipoglosso", "tapia");
INSERT INTO SINONIMOS VALUES("células espinhosas espinhosas presentes", "acantocitose");
INSERT INTO SINONIMOS VALUES("anticorpo antineutrófilo citoplasmático", "anca");
INSERT INTO SINONIMOS VALUES("cefaléia facial autonômica", "carotidinia");
INSERT INTO SINONIMOS VALUES("trato respiratório inferior agudo", "peito");
INSERT INTO SINONIMOS VALUES("consciência clara", "alerta");
INSERT INTO SINONIMOS VALUES("deformidade da articulação do quadril", "coxa");
INSERT INTO SINONIMOS VALUES("observação da deformidade em varo da articulação do quadril", "coxa vara");
INSERT INTO SINONIMOS VALUES("membros", "extremidades");
INSERT INTO SINONIMOS VALUES("lua em forma", "volta");
INSERT INTO SINONIMOS VALUES("pirexia", "febre");
INSERT INTO SINONIMOS VALUES("necrose bulbar infecciosa", "abscesso do pé");
INSERT INTO SINONIMOS VALUES("gama glutamil transferase", "ggt");
INSERT INTO SINONIMOS VALUES("unilateral", "um lado");
INSERT INTO SINONIMOS VALUES("hematócrito", "hematócrito");
INSERT INTO SINONIMOS VALUES("defecação aumentada", "evacuações");
INSERT INTO SINONIMOS VALUES("massa inguinal", "virilha");
INSERT INTO SINONIMOS VALUES("ventricular", "intraventricular");
INSERT INTO SINONIMOS VALUES("flexão", "dobra");
INSERT INTO SINONIMOS VALUES("distensão venosa jugular", "jvd");
INSERT INTO SINONIMOS VALUES("veias inspiradoras de enchimento paradoxais do pescoço", "sinal de kussmaul");
INSERT INTO SINONIMOS VALUES("inchaço", "inchado");
INSERT INTO SINONIMOS VALUES("mee's", "mees");
INSERT INTO SINONIMOS VALUES("unhas espessas", "paquioníquia");
INSERT INTO SINONIMOS VALUES("período noturno", "nocturno");
INSERT INTO SINONIMOS VALUES("ingestão oral", "uso de pílula de parto");
INSERT INTO SINONIMOS VALUES("fenitoína", "dilantin");
INSERT INTO SINONIMOS VALUES("fundus", "coriorretiniano");
INSERT INTO SINONIMOS VALUES("congênito convexo pes valgo", "pés do fundo do balancim");
INSERT INTO SINONIMOS VALUES("equimose da pele", "contusão grande");
INSERT INTO SINONIMOS VALUES("úlcera superficial", "erosão");
INSERT INTO SINONIMOS VALUES("úmido", "molhado");
INSERT INTO SINONIMOS VALUES("pústula", "espinha");
INSERT INTO SINONIMOS VALUES("inflamação do cordão espermático", "funiculite");
INSERT INTO SINONIMOS VALUES("cor amarela", "luz");
INSERT INTO SINONIMOS VALUES("passado", "status depois");
INSERT INTO SINONIMOS VALUES("glossopirose", "língua ardente");
INSERT INTO SINONIMOS VALUES("exfoliativa glossodinia de moeller", "língua macia");
INSERT INTO SINONIMOS VALUES("membrana do tímpano", "bolso");
INSERT INTO SINONIMOS VALUES("sgot", "sérum");
INSERT INTO SINONIMOS VALUES("fator de crescimento epidérmico", "egf");
INSERT INTO SINONIMOS VALUES("pronormoblastos", "rubriblast");
INSERT INTO SINONIMOS VALUES("calça anti-choque militar", "mastros");
INSERT INTO SINONIMOS VALUES("doença de simmonds", "pan-hipopituitarismo");
INSERT INTO SINONIMOS VALUES("radiação", "luz");
INSERT INTO SINONIMOS VALUES("disostose mandibulofacial", "síndrome de collins traiçoeiro");
INSERT INTO SINONIMOS VALUES("fitoterapia", "terapia herbária");
INSERT INTO SINONIMOS VALUES("percepção", "imagem");
INSERT INTO SINONIMOS VALUES("Exterminador do Futuro", "Pare");
INSERT INTO SINONIMOS VALUES("lésbicas", "homossexual feminina");
INSERT INTO SINONIMOS VALUES("juventude", "crianças");
INSERT INTO SINONIMOS VALUES("esposas", "esposa");
INSERT INTO SINONIMOS VALUES("respiração de pressão positiva intrínseca", "auto espreitadela");
INSERT INTO SINONIMOS VALUES("medicamentos de segunda linha que modificam a doença", "dmard");
INSERT INTO SINONIMOS VALUES("sistemas fechados de suporte de vida ecológica", "cels");
INSERT INTO SINONIMOS VALUES("folhas de plantas", "folha");
INSERT INTO SINONIMOS VALUES("cassete de atp-binding", "abc");
INSERT INTO SINONIMOS VALUES("toco", "remanescente");
INSERT INTO SINONIMOS VALUES("planetas menores", "asteróide");
INSERT INTO SINONIMOS VALUES("daucus carota", "cenouras");
INSERT INTO SINONIMOS VALUES("administração do espaço da aeronáutica nacional dos estados unidos", "nasa");
INSERT INTO SINONIMOS VALUES("livre de doenças", "evento grátis");
INSERT INTO SINONIMOS VALUES("flexibilidade", "flexibilidade");
INSERT INTO SINONIMOS VALUES("terminação seletiva", "redução");
INSERT INTO SINONIMOS VALUES("conium maculatum", "cicuta venenosa");
INSERT INTO SINONIMOS VALUES("agentes de segunda geração", "atípico");
INSERT INTO SINONIMOS VALUES("aminoácido excitatório", "glutamato");
INSERT INTO SINONIMOS VALUES("infecção sistêmica", "sépsis");
INSERT INTO SINONIMOS VALUES("proteínas de choque térmico 90", "hsp90");
INSERT INTO SINONIMOS VALUES("glicogênio sintase quinase 3", "gsk-3");
INSERT INTO SINONIMOS VALUES("metallopanstimulin 1", "mps-1");
INSERT INTO SINONIMOS VALUES("antarelix", "teverelix");
INSERT INTO SINONIMOS VALUES("cdkn1a", "inibidor de quinase dependente de ciclina 1A");
INSERT INTO SINONIMOS VALUES("inibidor de quinase dependente de ciclina 2a", "proteína p16");
INSERT INTO SINONIMOS VALUES("transportador de sulfato", "pendrin");
INSERT INTO SINONIMOS VALUES("falco columbarius", "merlin");
INSERT INTO SINONIMOS VALUES("neurofibromina 2", "merlin");
INSERT INTO SINONIMOS VALUES("ets gene variante 6", "TEL");
INSERT INTO SINONIMOS VALUES("interleucina-15", "il-15");
INSERT INTO SINONIMOS VALUES("ml 3000", "licofelona");
INSERT INTO SINONIMOS VALUES("proteína quinase ativada por mitógeno", "mapk");
INSERT INTO SINONIMOS VALUES("ausência adquirida", "perda");
INSERT INTO SINONIMOS VALUES("restrito", "baixo");
INSERT INTO SINONIMOS VALUES("adulteração", "contaminação");
INSERT INTO SINONIMOS VALUES("rubra", "mucilaginosa");
INSERT INTO SINONIMOS VALUES("desequilíbrio do sistema nervoso", "instabilidade");
INSERT INTO SINONIMOS VALUES("infecção do trato urinário", "uti");
INSERT INTO SINONIMOS VALUES("trato genital feminino", "ginecológico");
INSERT INTO SINONIMOS VALUES("manutenção de rotina de saúde", "hcm");
INSERT INTO SINONIMOS VALUES("lábil", "casaco branco");
INSERT INTO SINONIMOS VALUES("concentração reduzida", "pouca atenção");
INSERT INTO SINONIMOS VALUES("infecções do trato urinário", "uti");
INSERT INTO SINONIMOS VALUES("assoalho pélvico", "kegel");
INSERT INTO SINONIMOS VALUES("amostragem de vilosidades coriônicas intrauterinas", "cvs");
INSERT INTO SINONIMOS VALUES("achromia", "despigmentação");
INSERT INTO SINONIMOS VALUES("pele limitada não especificada", "cutâneo");
INSERT INTO SINONIMOS VALUES("furúnculo", "ferver");
INSERT INTO SINONIMOS VALUES("lombo", "inguinal");
INSERT INTO SINONIMOS VALUES("nádega", "gluteal");
INSERT INTO SINONIMOS VALUES("dermatite piotraumática", "pontos quentes");
INSERT INTO SINONIMOS VALUES("pênfigo foliáceo", "incêndios");
INSERT INTO SINONIMOS VALUES("dermatose acantolítica transitória", "doença de grover");
INSERT INTO SINONIMOS VALUES("medicamentosa", "droga induzida");
INSERT INTO SINONIMOS VALUES("prurigo simplex", "urticária papular");
INSERT INTO SINONIMOS VALUES("eritema", "erupção cutânea");
INSERT INTO SINONIMOS VALUES("seborreica", "inverso");
INSERT INTO SINONIMOS VALUES("papilomatose reticulada confluente", "síndrome de gougerot-carteaud");
INSERT INTO SINONIMOS VALUES("degeneração", "elastose");
INSERT INTO SINONIMOS VALUES("ulerythema ophryogenes", "queratose pilar atrófica");
INSERT INTO SINONIMOS VALUES("hipertricose pinnae auris", "orelhas peludas");
INSERT INTO SINONIMOS VALUES("cabelo de bambu", "tricorrexe nodosa");
INSERT INTO SINONIMOS VALUES("annulati do pili", "cabelo anelado");
INSERT INTO SINONIMOS VALUES("pili incarnati", "pelo encravado");
INSERT INTO SINONIMOS VALUES("canities", "acinzentado");
INSERT INTO SINONIMOS VALUES("prego longitudinal", "onicorrexe");
INSERT INTO SINONIMOS VALUES("divisão de unha lamelar", "onicosquizia");
INSERT INTO SINONIMOS VALUES("prego de hipertrofia", "Onichauxis");
INSERT INTO SINONIMOS VALUES("onicomalácia", "unhas macias");
INSERT INTO SINONIMOS VALUES("onicomadose", "perda de unhas");
INSERT INTO SINONIMOS VALUES("laminite eqüina", "fundador");
INSERT INTO SINONIMOS VALUES("melasma gravidarum", "máscara de gravidez");
INSERT INTO SINONIMOS VALUES("heloma duro", "clavus");
INSERT INTO SINONIMOS VALUES("tecido de granulação anormal", "carne orgulhosa");
INSERT INTO SINONIMOS VALUES("angioma serpiginosum", "telangiectasia essencial");
INSERT INTO SINONIMOS VALUES("sistema esquelético da doença", "osteoartropatia");
INSERT INTO SINONIMOS VALUES("doença disseminada do colágeno eosinofílico", "síndrome hipereosinofílica");
INSERT INTO SINONIMOS VALUES("tipo de infância", "juvenil");
INSERT INTO SINONIMOS VALUES("estalando o quadril", "síndrome da banda iliotibial");
INSERT INTO SINONIMOS VALUES("espondilose cervical", "artrite no pescoço");
INSERT INTO SINONIMOS VALUES("hiperostose adquirida", "sapho");
INSERT INTO SINONIMOS VALUES("putti's", "vertebral");
INSERT INTO SINONIMOS VALUES("contrariado", "dorido");
INSERT INTO SINONIMOS VALUES("felino imperfeito", "juvenil");
INSERT INTO SINONIMOS VALUES("osteopatia juvenil patelar", "doença de kohler");
INSERT INTO SINONIMOS VALUES("apofisite do calcâneo", "doença de sever");
INSERT INTO SINONIMOS VALUES("osteochondrosis juvenil segundo metatarsal", "doença de freiberg");
INSERT INTO SINONIMOS VALUES("síndrome de xifoidida", "xifosidalgia");
INSERT INTO SINONIMOS VALUES("pes planus adquirido", "pé chato");
INSERT INTO SINONIMOS VALUES("infecção do trato respiratório superior", "uri nos");
INSERT INTO SINONIMOS VALUES("febre do feno com", "pólen");
INSERT INTO SINONIMOS VALUES("insuficiência respiratória aguda", "arf");
INSERT INTO SINONIMOS VALUES("gangrenoso", "necrosante");
INSERT INTO SINONIMOS VALUES("ossificação", "calcificação");
INSERT INTO SINONIMOS VALUES("fonação", "discurso");
INSERT INTO SINONIMOS VALUES("falsete mutacional", "puberfonia");
INSERT INTO SINONIMOS VALUES("endócrino", "ad-renal");
INSERT INTO SINONIMOS VALUES("doença cardíaca isquêmica", "insuficiência coronariana");
INSERT INTO SINONIMOS VALUES("cardiomiopatia restritiva eosinofílica primária", "construtivo");
INSERT INTO SINONIMOS VALUES("condução atrioventricular", "caminho");
INSERT INTO SINONIMOS VALUES("atrioventricular parcial", "segundo grau av");
INSERT INTO SINONIMOS VALUES("bloco atrioventricular incompleto tipo i de mobitz", "wenckebach");
INSERT INTO SINONIMOS VALUES("defeito de condução", "quadra");
INSERT INTO SINONIMOS VALUES("embolia de colesterol", "dedo roxo");
INSERT INTO SINONIMOS VALUES("oclusão", "bloqueado");
INSERT INTO SINONIMOS VALUES("peito de tromboflebite", "doença de mondor");
INSERT INTO SINONIMOS VALUES("síndrome de desanctis-cacchione", "idiotice xerodérmica");
INSERT INTO SINONIMOS VALUES("Warburg", "walker-warburg");
INSERT INTO SINONIMOS VALUES("criptoftalmia", "fraser");
INSERT INTO SINONIMOS VALUES("branchio-oto-renal", "bor");
INSERT INTO SINONIMOS VALUES("genee-wiedemann", "moleiro");
INSERT INTO SINONIMOS VALUES("esclerose tuberosa do tumor fibroso da pele", "adenoma sebáctico");
INSERT INTO SINONIMOS VALUES("aneurisma arteriovenoso cerebral-retiniano", "síndrome de wyburn-mason");
INSERT INTO SINONIMOS VALUES("bannayan", "ruvalcaba-myhre");
INSERT INTO SINONIMOS VALUES("senter", "criança");
INSERT INTO SINONIMOS VALUES("sequência bilateral de lados esquerdos", "síndrome de poliesplenia");
INSERT INTO SINONIMOS VALUES("trissomia completa 8", "warkany");
INSERT INTO SINONIMOS VALUES("trissomia parcial", "duplicação");
INSERT INTO SINONIMOS VALUES("tetrasomia 12p", "síndrome pamister-killian");
INSERT INTO SINONIMOS VALUES("Monossomia parcial 13q", "orbeli");
INSERT INTO SINONIMOS VALUES("dermatofibrosis lenticularis disseminata", "síndrome de buschke-ollendorff");
INSERT INTO SINONIMOS VALUES("ausência congênita", "hemimelia");
INSERT INTO SINONIMOS VALUES("talipomanus", "clubhand");
INSERT INTO SINONIMOS VALUES("hálux valgo congênito", "joanete");
INSERT INTO SINONIMOS VALUES("sindactilia", "palmado");
INSERT INTO SINONIMOS VALUES("cifose congênita", "Corcunda inata");
INSERT INTO SINONIMOS VALUES("postura postural congênita", "inato");
INSERT INTO SINONIMOS VALUES("malarticulação da malformação cervical", "síndrome de wobbler");
INSERT INTO SINONIMOS VALUES("fusão congênita", "bífido");
INSERT INTO SINONIMOS VALUES("bifidum", "fenda");
INSERT INTO SINONIMOS VALUES("pulmão de ausência congênita", "agenesia pulmonar");
INSERT INTO SINONIMOS VALUES("doença cardíaca congênita cianótica", "bebê azul");
INSERT INTO SINONIMOS VALUES("nevo melanocítico", "nevo pigmentado");
INSERT INTO SINONIMOS VALUES("ectópico", "acessório");
INSERT INTO SINONIMOS VALUES("dentes da lua", "amora");
INSERT INTO SINONIMOS VALUES("fenda superior do lábio superior do lábio", "cheilognathopalatoschisis");
INSERT INTO SINONIMOS VALUES("ducto naso-palatino", "canal incisivo");
INSERT INTO SINONIMOS VALUES("cistos gengivais infantis", "pérolas de epstein");
INSERT INTO SINONIMOS VALUES("fenda", "bífido");
INSERT INTO SINONIMOS VALUES("estômago de transposição congênita", "dextrogastria");
INSERT INTO SINONIMOS VALUES("síndrome de casca de maçã", "atresia jejunal");
INSERT INTO SINONIMOS VALUES("anomalia não especificada", "malformação");
INSERT INTO SINONIMOS VALUES("agenesia unilateral", "solitário");
INSERT INTO SINONIMOS VALUES("acessório", "supranumerário");
INSERT INTO SINONIMOS VALUES("Duplo", "duplex");
INSERT INTO SINONIMOS VALUES("fusão", "fundido");
INSERT INTO SINONIMOS VALUES("rim de lobulação congênita", "hipersegmentação");
INSERT INTO SINONIMOS VALUES("ausência congênita da bexiga", "acystia");
INSERT INTO SINONIMOS VALUES("seio umbilical persistente", "urato de patente");
INSERT INTO SINONIMOS VALUES("ovoteste", "verdadeiro hermafroditismo");
INSERT INTO SINONIMOS VALUES("duplicação congênita", "didelphys");
INSERT INTO SINONIMOS VALUES("agonadismo masculino", "anorquia");
INSERT INTO SINONIMOS VALUES("regressão testicular", "agenesia gonadal xy");
INSERT INTO SINONIMOS VALUES("pênis hipoplasia congênita", "micropênis");
INSERT INTO SINONIMOS VALUES("microgiria", "polimicrogiria");
INSERT INTO SINONIMOS VALUES("macrogiria", "paquigiria");
INSERT INTO SINONIMOS VALUES("glial heterotopia", "glioma");
INSERT INTO SINONIMOS VALUES("queixo-piscando", "Marcus Gunn");
INSERT INTO SINONIMOS VALUES("atrophia bulborum hereditaria", "doença de norrie");
INSERT INTO SINONIMOS VALUES("zonular congênito", "lamelar");
INSERT INTO SINONIMOS VALUES("orelha tragus acessório", "etiqueta pré-auricular");
INSERT INTO SINONIMOS VALUES("ondulação", "Cova");
INSERT INTO SINONIMOS VALUES("face de deformidade congênita", "dismorfismo facial");
INSERT INTO SINONIMOS VALUES("janiceps", "janus");
INSERT INTO SINONIMOS VALUES("monstro", "gêmeos");
INSERT INTO SINONIMOS VALUES("gêmeo", "bilobate");
INSERT INTO SINONIMOS VALUES("sangue oculto", "heme");
INSERT INTO SINONIMOS VALUES("sensibilidade proteica", "alergia");
INSERT INTO SINONIMOS VALUES("tecido oral", "boca");
INSERT INTO SINONIMOS VALUES("cheilodinia", "dor labial");
INSERT INTO SINONIMOS VALUES("crivado", "recortado");
INSERT INTO SINONIMOS VALUES("músculo espasmo", "acalasia");
INSERT INTO SINONIMOS VALUES("teia esofágica terminal", "anel de schatzki");
INSERT INTO SINONIMOS VALUES("ectasia vascular antral gástrica", "estômago de melancia");
INSERT INTO SINONIMOS VALUES("ectasia vascular", "angiodisplasia");
INSERT INTO SINONIMOS VALUES("íleo da doença", "ileite");
INSERT INTO SINONIMOS VALUES("intestino grosso", "cólon");
INSERT INTO SINONIMOS VALUES("interposição subfrênica", "chilaiditi's");
INSERT INTO SINONIMOS VALUES("com obstrução mas sem gangrena", "estrangulado");
INSERT INTO SINONIMOS VALUES("bile", "biliar");
INSERT INTO SINONIMOS VALUES("cálculos biliares", "pedra do ducto biliar");
INSERT INTO SINONIMOS VALUES("distúrbio de volume", "desequilíbrio");
INSERT INTO SINONIMOS VALUES("alcalose respiratória", "hiperventilação");
INSERT INTO SINONIMOS VALUES("hipocupremia", "deficiência de cobre");
INSERT INTO SINONIMOS VALUES("deslizando o tendão", "perosis");
INSERT INTO SINONIMOS VALUES("Glicogenosis com glucoaminofosfaturia", "síndrome de fanconi-bickel");
INSERT INTO SINONIMOS VALUES("deficiência adquirida", "intolerância secundária");
INSERT INTO SINONIMOS VALUES("lipossinovite prepatellaris", "doença de hoffa");
INSERT INTO SINONIMOS VALUES("mioclonus síndrome da mancha vermelha de cereja", "sialidose");
INSERT INTO SINONIMOS VALUES("armazenamento de ácido siálico", "salla");
INSERT INTO SINONIMOS VALUES("deficiência de fosfatidilcolina-esterol aciltransferase", "doença norum");
INSERT INTO SINONIMOS VALUES("3-oxo-5 alfa-esteróide delta 4-desidrogenase", "5-alfa-redutase");
INSERT INTO SINONIMOS VALUES("colestase intra-hepática progressiva", "síndrome de byler");
INSERT INTO SINONIMOS VALUES("nefropatia", "renal");
INSERT INTO SINONIMOS VALUES("nefropatia amilóide familiar com surdez urticária", "síndrome de muckle-wells");
INSERT INTO SINONIMOS VALUES("tipo de anúncio", "cutâneo");
INSERT INTO SINONIMOS VALUES("hipocalemia familiar - hipomagnesemia", "síndrome de gitelman");
INSERT INTO SINONIMOS VALUES("fumarylacetoacetase", "tipo tyrosnema");
INSERT INTO SINONIMOS VALUES("tipo crônico fumarylacetoacetase", "tyrosnema");
INSERT INTO SINONIMOS VALUES("deficiência de glutationa sintase com 5-oxoprolinúria", "acidemia piroglutâmica");
INSERT INTO SINONIMOS VALUES("hiperhidroxiprolinemia", "hidroxiprolinaemia");
INSERT INTO SINONIMOS VALUES("hiperamonemia tipo iii", "deficiência de nags");
INSERT INTO SINONIMOS VALUES("deficiência de liase", "acidúria");
INSERT INTO SINONIMOS VALUES("carboxilase de deficiência", "acidemia");
INSERT INTO SINONIMOS VALUES("desidrogenase", "tipo acdura");
INSERT INTO SINONIMOS VALUES("deficiência de aminoacil-histidina dipeptidase", "carnosinemia");
INSERT INTO SINONIMOS VALUES("síndrome urológica felina", "gatos da doença do trato urinário inferior");
INSERT INTO SINONIMOS VALUES("vascular renal", "renovascular");
INSERT INTO SINONIMOS VALUES("diabetes insipidus dipsogênico", "polidipsia primária");
INSERT INTO SINONIMOS VALUES("instabilidade do detrusor", "irritabilidade");
INSERT INTO SINONIMOS VALUES("tubo de falópio de hérnia", "salpingocele");
INSERT INTO SINONIMOS VALUES("ectrópio", "eversão");
INSERT INTO SINONIMOS VALUES("peito de endurecimento", "mastoscirrhus");
INSERT INTO SINONIMOS VALUES("combinado", "heterotópico");
INSERT INTO SINONIMOS VALUES("associado ao parto", "puerperal");
INSERT INTO SINONIMOS VALUES("administração de cloranfenicol recém-nascido", "bebê");
INSERT INTO SINONIMOS VALUES("síndrome de privação emocional", "nanismo psicossocial");
INSERT INTO SINONIMOS VALUES("ruminante", "gado");
INSERT INTO SINONIMOS VALUES("bruns", "linha média");
INSERT INTO SINONIMOS VALUES("doença de seitelberger", "distrofia neuroaxonal infantil");
INSERT INTO SINONIMOS VALUES("leucoencefalopatia subcortical", "doença de binswanger");
INSERT INTO SINONIMOS VALUES("paralisia cerebral", "congênito");
INSERT INTO SINONIMOS VALUES("paralisia", "paralisia");
INSERT INTO SINONIMOS VALUES("Sweeney", "atrofia do ombro");
INSERT INTO SINONIMOS VALUES("síndrome espástica", "alongar");
INSERT INTO SINONIMOS VALUES("collet-sicard", "Villaret's");
INSERT INTO SINONIMOS VALUES("polineuropatia", "neuropatia");
INSERT INTO SINONIMOS VALUES("hipotonia neonatal", "bebê disquete");
INSERT INTO SINONIMOS VALUES("bruck-de", "cornelia de");
INSERT INTO SINONIMOS VALUES("olho hipotensivo cego", "phthisis bulbi");
INSERT INTO SINONIMOS VALUES("profundo", "borrão");
INSERT INTO SINONIMOS VALUES("vinculado ao x", "juvenil");
INSERT INTO SINONIMOS VALUES("retinite pigmentosa-surdez", "arrumador");
INSERT INTO SINONIMOS VALUES("rubor", "injeção");
INSERT INTO SINONIMOS VALUES("aluno deformado", "dyscoria");
INSERT INTO SINONIMOS VALUES("pupila ectópica", "corectopia");
INSERT INTO SINONIMOS VALUES("ambos os olhos", "bilateral");
INSERT INTO SINONIMOS VALUES("oculovestibuloauditório", "cogan's");
INSERT INTO SINONIMOS VALUES("dermatite de contato da pálpebra", "blefarite alérgica");
INSERT INTO SINONIMOS VALUES("nistagmo ocular espontâneo", "movimentos oculares errantes");
INSERT INTO SINONIMOS VALUES("otalgia", "dor de ouvido");
INSERT INTO SINONIMOS VALUES("orelha de cera em excesso", "ceruminose");
INSERT INTO SINONIMOS VALUES("transudativo", "seroso");
INSERT INTO SINONIMOS VALUES("ouvido médio", "aural");
INSERT INTO SINONIMOS VALUES("desordem", "disfunção");
INSERT INTO SINONIMOS VALUES("hiperprolactinemia secundária tumores secretores de prolactina", "síndrome de forbes-albright");
INSERT INTO SINONIMOS VALUES("não relacionada à gravidez a-g", "amenorréia-galactorréia");
INSERT INTO SINONIMOS VALUES("deficiência isolada de prolactina", "hipoprolactinemia");
INSERT INTO SINONIMOS VALUES("residual", "remanescente");
INSERT INTO SINONIMOS VALUES("pós-absortivo", "jejum");
INSERT INTO SINONIMOS VALUES("aldosteronismo", "hiperaldosteronismo");
